seed,model,best_epoch,parameters,window_accuracy,window_macro_f1,source_accuracy,source_macro_f1,validation_windows,validation_sources
2024,PVSCNet,7,540554,0.6760404949381328,0.673254995601672,0.8333333333333334,0.8392857142857143,889,12
2024,DeterministicFusionNet,7,536442,0.6434195725534309,0.6390997303304251,0.75,0.6726190476190476,889,12
2024,SpectrogramOnlyPVNet,9,531108,0.6501687289088864,0.6445039920254134,0.75,0.6939393939393939,889,12
2025,PVSCNet,21,540554,0.8695163104611924,0.8728381361580908,0.6923076923076923,0.75,889,13
2025,DeterministicFusionNet,23,536442,0.8616422947131609,0.8680416040818535,0.8461538461538461,0.8726190476190476,889,13
2025,SpectrogramOnlyPVNet,23,531108,0.7907761529808774,0.8015332115309861,0.7692307692307693,0.7818181818181817,889,13
2026,PVSCNet,10,540554,0.8706411698537683,0.8785607894117011,0.8333333333333334,0.843939393939394,889,12
2026,DeterministicFusionNet,13,536442,0.8143982002249719,0.8283727835049534,0.75,0.7833333333333333,889,12
2026,SpectrogramOnlyPVNet,14,531108,0.7840269966254219,0.8000350866497465,0.8333333333333334,0.875,889,12
